sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName		targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime		referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002459	disperses seeds of 		NCBI:txid167572	Stemona tuberosa	http://purl.obolibrary.org/obo/PO_0009010	seed								Fu Ning in Yunnan, China	23.79	105.81			2011-08-07/2017-10-28		10.1111/nph.15166	https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15166	Chen G, Wang Z-W, Wen P, Wei W, Chen Y, Ai H, Sun W-B. 2018. Hydrocarbons mediate seed dispersal: a new mechanism of vespicochory. New Phytologist 220: 714-725. doi:https://doi.org/10.1111/nph.15166
	NCBI:txid202808	Vespa velutina					SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002459	disperses seeds of 		NCBI:txid167572	Stemona tuberosa	http://purl.obolibrary.org/obo/PO_0009010	seed								Kun- ming Botanic Garden in Yunnan, China	25.14	102.74			2011-08-07/2017-10-28		10.1111/nph.15166	https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15166	Chen G, Wang Z-W, Wen P, Wei W, Chen Y, Ai H, Sun W-B. 2018. Hydrocarbons mediate seed dispersal: a new mechanism of vespicochory. New Phytologist 220: 714-725. doi:https://doi.org/10.1111/nph.15166
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002470	eats		NCBI:txid7460	Apis mellifera			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010059	dead				surroundings of Ventimiglia (Imperia, Liguria, Italy)					2015-10/2015-11		10.1111/een.12507	https://onlinelibrary.wiley.com/doi/10.1111/een.12507	Cini A, Cappa F, Petrocelli I, Pepiciello I, Bortolotti L, Cervo R. 2018. Competition between the native and the introduced hornets Vespa crabro and Vespa velutina: a comparison of potentially relevant life-history traits. Ecological Entomology 43: 351-362. doi:10.1111/een.12507
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002470	eats		NCBI:txid743375	Polistes dominula			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010059	dead				surroundings of Ventimiglia (Imperia, Liguria, Italy)					2015-10/2015-11		10.1111/een.12507	https://onlinelibrary.wiley.com/doi/10.1111/een.12507	Cini A, Cappa F, Petrocelli I, Pepiciello I, Bortolotti L, Cervo R. 2018. Competition between the native and the introduced hornets Vespa crabro and Vespa velutina: a comparison of potentially relevant life-history traits. Ecological Entomology 43: 351-362. doi:10.1111/een.12507
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002470	eats		NCBI:txid29760	Vitis vinifera	http://purl.obolibrary.org/obo/PO_0009001	fruit								surroundings of Ventimiglia (Imperia, Liguria, Italy)					2015-10/2015-11		10.1111/een.12507	https://onlinelibrary.wiley.com/doi/10.1111/een.12507	Cini A, Cappa F, Petrocelli I, Pepiciello I, Bortolotti L, Cervo R. 2018. Competition between the native and the introduced hornets Vespa crabro and Vespa velutina: a comparison of potentially relevant life-history traits. Ecological Entomology 43: 351-362. doi:10.1111/een.12507
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid92444	Acute bee paralysis virus										south-east of France					2014-09/2014-10		10.3390/v11111041	https://res.mdpi.com/d_attachment/viruses/viruses-11-01041/article_deploy/viruses-11-01041.pdf	Dalmon A, Gayral P, Decante D, Klopp C, Bigot D, Thomasson M, Aherniou E, Alaux C, Conte YL. 2019. Viruses in the invasive hornet vespa velutina. Viruses 11 (art. 1041). doi:10.3390/v11111041
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid92395	Black queen cell virus										south-east of France					2014-09/2014-10		10.3390/v11111041	https://res.mdpi.com/d_attachment/viruses/viruses-11-01041/article_deploy/viruses-11-01041.pdf	Dalmon A, Gayral P, Decante D, Klopp C, Bigot D, Thomasson M, Aherniou E, Alaux C, Conte YL. 2019. Viruses in the invasive hornet vespa velutina. Viruses 11 (art. 1041). doi:10.3390/v11111041
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid198112	Deformed wing virus										south-east of France					2014-09/2014-10		10.3390/v11111041	https://res.mdpi.com/d_attachment/viruses/viruses-11-01041/article_deploy/viruses-11-01041.pdf	Dalmon A, Gayral P, Decante D, Klopp C, Bigot D, Thomasson M, Aherniou E, Alaux C, Conte YL. 2019. Viruses in the invasive hornet vespa velutina. Viruses 11 (art. 1041). doi:10.3390/v11111041
	NCBI:txid202808	Vespa velutina	http://purl.obolibrary.org/obo/UBERON_0000916	abdomen	http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010059	dead	http://purl.obolibrary.org/obo/RO_0002635	has endoparasite		NCBI:txid1219154	Conops vesicularis										in and around Tours (central France)					2013-06/2013-08		10.1007/s13592-014-0297-y	https://link.springer.com/content/pdf/10.1007/s13592-014-0297-y.pdf	Darrouzet E, Gevar J, Dupont S. 2015. A scientific note about a parasitoid that can parasitize the yellow-legged hornet, Vespa velutina nigrithorax, in Europe. Apidologie 46: 130-132. doi:10.1007/s13592-014-0297-y
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive		stings		NCBI:txid9606	Homo sapiens					SIO:010058	alive				France					2004/2008		10.1016/j.toxicon.2009.08.005	https://www.scopus.com/inward/record.uri?eid=2-s2.0-72749109809&doi=10.1016%2fj.toxicon.2009.08.005&partnerID=40&md5=bffe11c5a360e00e17c01c7dd3485814	de Haro L, Labadie M, Chanseau P, Cabot C, Blanc-Brisset I, Penouil F. 2010. Medical consequences of the Asian black hornet (Vespa velutina) invasion in Southwestern France. Toxicon 55: 650-652. doi:10.1016/j.toxicon.2009.08.005
